date,region,Total referrals,Barriers to engagement with support services,Barriers to reintegration to education,Child mental health,Child protection/ safeguarding concerns referred to Statutory Agencies,Concerns about children outside the home,Exposure to online harm,Impact of caring responsibilities,Isolation & loneliness,Other,Parent mental health,Parenting support
2020-06-15,Central,1,0,1,0,0,0,0,0,0,0,0,0
2020-06-15,North,5,0,2,2,0,0,0,0,0,0,0,0
2020-06-22,North,17,0,2,3,0,1,0,0,2,2,0,4
2020-06-29,Central,4,0,0,1,0,1,1,0,1,0,0,1
2020-06-29,London,6,1,0,4,0,0,0,2,1,1,0,0
2020-06-29,North,49,2,19,8,0,1,0,1,3,2,1,13
2020-06-29,South East,15,1,3,3,0,0,0,0,0,2,0,3
2020-06-29,South West,4,0,1,0,0,2,0,0,0,0,1,0
2020-07-06,Central,11,2,3,5,0,6,1,1,1,0,1,3
2020-07-06,London,13,4,5,4,0,3,0,5,0,1,1,6
2020-07-06,North,52,5,13,15,0,0,1,4,11,5,0,8
2020-07-06,South East,20,0,3,4,0,1,0,0,0,3,0,4
2020-07-06,South West,8,0,2,3,0,0,0,1,0,0,1,2
2020-07-13,Central,16,0,4,8,0,3,0,2,3,0,4,5
2020-07-13,London,15,2,9,9,0,1,0,3,2,1,0,3
2020-07-13,North,69,1,17,28,0,3,0,3,8,1,1,18
2020-07-13,South East,24,2,3,4,0,0,0,1,3,3,1,2
2020-07-13,South West,15,0,4,5,0,0,0,0,0,2,2,2
2020-07-20,Central,5,0,0,1,0,0,0,0,1,0,0,1
2020-07-20,London,4,1,0,3,0,0,0,0,2,0,0,2
2020-07-20,North,16,1,3,12,0,10,1,1,0,0,2,5
2020-07-20,South East,13,0,0,4,0,0,0,0,0,0,1,1
2020-07-20,South West,8,0,1,5,0,1,1,0,1,2,1,1
2020-07-27,Central,10,0,1,5,0,1,0,1,7,1,5,1
2020-07-27,London,6,0,1,3,0,0,0,0,5,2,1,2
2020-07-27,North,32,2,17,21,0,4,2,5,13,0,7,11
2020-07-27,South East,16,0,4,3,0,1,0,0,1,0,1,0
2020-07-27,South West,26,4,6,11,0,0,0,0,9,3,8,7
2020-08-03,Central,7,0,3,2,0,1,0,2,3,1,2,5
2020-08-03,London,8,2,1,4,0,1,0,2,3,0,1,1
2020-08-03,North,51,7,25,39,0,1,1,22,29,0,11,17
2020-08-03,South East,18,0,2,5,0,0,0,0,2,1,2,2
2020-08-03,South West,11,2,2,6,0,0,0,0,0,0,2,1
2020-08-10,Central,26,4,10,9,1,4,2,4,9,1,6,12
2020-08-10,London,11,3,4,5,0,0,0,0,4,1,1,5
2020-08-10,North,46,6,27,35,0,7,0,3,22,0,6,22
2020-08-10,South East,18,0,4,8,0,0,1,1,1,2,1,1
2020-08-10,South West,56,10,39,44,3,8,2,6,30,2,4,13
2020-08-17,Central,133,27,36,107,0,2,11,7,56,1,10,33
2020-08-17,London,12,1,4,5,0,1,1,1,3,1,2,4
2020-08-17,North,83,11,35,38,0,8,4,4,29,3,11,8
2020-08-17,South East,21,0,17,16,0,0,0,9,12,4,5,8
2020-08-17,South West,56,4,41,47,0,2,4,8,35,1,12,13
2020-08-24,Central,67,5,22,45,3,9,6,5,28,2,15,13
2020-08-24,London,55,4,36,35,0,0,0,3,37,9,2,5
2020-08-24,North,137,14,61,103,2,21,6,6,37,11,11,12
2020-08-24,South East,24,1,6,11,0,0,1,1,8,1,2,4
2020-08-24,South West,52,5,28,40,0,0,0,3,29,0,6,6
2020-08-31,Central,63,4,11,47,0,4,4,7,24,6,16,20
2020-08-31,London,22,2,8,8,2,3,0,1,15,5,5,4
2020-08-31,North,79,13,31,48,1,14,12,5,32,2,16,20
2020-08-31,South East,21,0,6,14,0,0,0,1,11,3,6,6
2020-08-31,South West,29,5,18,20,0,3,0,1,12,5,7,10
2020-09-07,Central,161,1,67,108,1,10,23,6,90,8,46,37
